iter	Passed	Remaining
0	353	70307
1	574	56913
2	795	52228
3	1017	49876
4	1267	49421
5	1500	48503
6	1755	48402
7	2000	48001
8	2257	47901
9	2534	48154
10	2778	47737
11	3013	47204
12	3250	46762
13	3509	46630
14	3759	46366
15	4003	46039
16	4233	45571
17	4483	45330
18	4725	45014
19	4949	44549
20	5203	44351
21	5431	43949
22	5680	43716
23	5918	43400
24	6148	43037
25	6388	42752
26	6622	42432
27	6859	42139
28	7108	41916
29	7369	41760
30	7597	41420
31	7849	41209
32	8080	40892
33	8317	40609
34	8586	40478
35	8830	40228
36	9079	39998
37	9330	39778
38	9574	39524
39	9811	39246
40	10035	38918
41	10280	38673
42	10524	38424
43	10772	38191
44	11012	37931
45	11256	37685
46	11492	37412
47	11739	37174
48	11989	36946
49	12274	36823
50	12515	36564
51	12766	36335
52	13007	36078
53	13288	35929
54	13540	35697
55	13781	35438
56	14082	35329
57	14342	35113
58	14608	34911
59	14870	34697
60	15120	34454
61	15369	34210
62	15600	33924
63	15835	33649
64	16069	33374
65	16300	33094
66	16565	32884
67	16804	32620
68	17060	32389
69	17341	32206
70	17608	31992
71	17868	31765
72	18107	31502
73	18360	31263
74	18612	31020
75	18854	30762
76	19107	30522
77	19357	30276
78	19624	30058
79	19869	29803
80	20087	29511
81	20320	29241
82	20546	28963
83	20773	28687
84	21025	28446
85	21252	28171
86	21516	27947
87	21753	27686
88	22003	27442
89	22282	27234
90	22527	26984
91	22788	26752
92	23047	26517
93	23301	26275
94	23556	26036
95	23789	25771
96	24052	25540
97	24312	25304
98	24559	25055
99	24836	24836
100	25072	24575
101	25318	24325
102	25561	24072
103	25803	23818
104	26036	23556
105	26254	23282
106	26505	23037
107	26718	22759
108	26965	22512
109	27236	22284
110	27437	21999
111	27630	21709
112	27878	21464
113	28054	21163
114	28289	20909
115	28479	20622
116	28678	20344
117	28896	20080
118	29132	19829
119	29379	19586
120	29623	19340
121	29867	19095
122	30089	18836
123	30342	18597
124	30528	18316
125	30710	18036
126	30902	17762
127	31089	17487
128	31286	17219
129	31496	16959
130	31702	16698
131	31899	16433
132	32098	16170
133	32330	15924
134	32557	15675
135	32765	15419
136	32980	15166
137	33179	14906
138	33366	14642
139	33552	14379
140	33733	14115
141	33924	13856
142	34110	13596
143	34294	13336
144	34483	13079
145	34667	12822
146	34848	12564
147	35026	12306
148	35210	12051
149	35382	11794
150	35587	11548
151	35763	11293
152	35941	11040
153	36126	10790
154	36330	10547
155	36542	10306
156	36733	10060
157	36921	9814
158	37131	9574
159	37325	9331
160	37531	9091
161	37769	8859
162	37964	8617
163	38155	8375
164	38344	8133
165	38536	7893
166	38731	7653
167	38921	7413
168	39114	7174
169	39296	6934
170	39487	6696
171	39678	6459
172	39868	6222
173	40054	5985
174	40239	5748
175	40430	5513
176	40629	5279
177	40818	5044
178	41012	4811
179	41191	4576
180	41373	4343
181	41556	4110
182	41744	3877
183	41930	3646
184	42119	3415
185	42310	3184
186	42505	2954
187	42689	2724
188	42879	2495
189	43070	2266
190	43267	2038
191	43486	1811
192	43679	1584
193	43882	1357
194	44079	1130
195	44308	904
196	44518	677
197	44704	451
198	44898	225
199	45083	0
